id,address_comment,address_name,article,article_warning,text,text_warning,warning,full_address_name,name,lat,lon,type,text_query,city,y_coord,x_coord
11983,1 этаж,"1-й Волоколамский проезд, 10",,,,,,"Москва, 1-й Волоколамский проезд, 10","Магнит, супермаркет",55.803118,37.490789,branch,продуктовый магазин,msc,5.691475929115011,-7.971094005874162
11985,1 этаж; супермаркет Пятёрочка,"Уральская улица, 7",,,,,,"Москва, Уральская улица, 7","Горздрав, аптека №1524",55.815572,37.797511,branch,аптека,msc,7.078083845981738,11.288504200274346
11990,1 этаж,"Уральская улица, 1",,,,,,"Москва, Уральская улица, 1","Еаптека, аптека",55.811592,37.798132,branch,аптека,msc,6.634956871806398,11.327497826590331
11991,1 этаж,"Клязьминская улица, 32",,,,,,"Москва, Клязьминская улица, 32","Дикси, супермаркет",55.895144,37.52993,branch,продуктовый магазин,msc,15.937566407114362,-5.513363969527475
11993,,"улица Москворечье, 16 ст9",,,,,,"Москва, улица Москворечье, 16 ст9",Клиническая больница №85,55.642717,37.667422,branch,поликлиника,msc,-12.167055286223013,3.119995004426916
11997,,"Мичуринский проспект, 23",,,,,,"Москва, Мичуринский проспект, 23",Школа №1498,55.694574,37.506844,branch,школа,msc,-6.393515122499205,-6.962973284356096
11998,,"улица Ткацкая, 5 ст2",,,,,,"Москва, улица Ткацкая, 5 ст2","С.С.С.Р., сеть фитнес-клубов",55.786397,37.723907,branch,фитнес-клуб,msc,3.8297916820701388,6.666784823559296
12002,,"Краснодарская улица, 34а",,,,,,"Москва, Краснодарская улица, 34а","Магнит, супермаркет",55.677178,37.756774,branch,продуктовый магазин,msc,-8.330318032050004,8.730559530938143
12003,6 этаж; 4 подъезд,"Михайловский проезд, 1",,,,,,"Москва, Михайловский проезд, 1","С.С.С.Р., сеть фитнес-клубов",55.731504,37.686625,branch,фитнес-клуб,msc,-2.281854400012112,4.325784326303255
12004,,"Изумрудная улица, 4",,,,,,"Москва, Изумрудная улица, 4","Магнит, супермаркет",55.868115,37.678304,branch,продуктовый магазин,msc,12.92816632728993,3.803294466505175
12005,"1, 2 этаж","Хомутовский тупик, 7 ст1",,,,,,"Москва, Хомутовский тупик, 7 ст1",Центральная поликлиника №3 МВД России,55.7668,37.655111,branch,поликлиника,msc,1.6479055678646364,2.3469661561036954
12007,,"Веерная улица, 6",,,,,,"Москва, Веерная улица, 6","Магнит, супермаркет",55.711572,37.489035,branch,продуктовый магазин,msc,-4.501018648004128,-8.081230639037619
12008,1 этаж,"1-й Нагатинский проезд, 11 к1",,,,,,"Москва, 1-й Нагатинский проезд, 11 к1","ВкусВилл, магазин с доставкой полезных продуктов",55.678686,37.635971,branch,продуктовый магазин,msc,-8.162423402055275,1.1451326265880952
12013,1 этаж,"Малая Юшуньская улица, 3 ст5",,,,,,"Москва, Малая Юшуньская улица, 3 ст5","Baza fitness club, фитнес-клуб",55.654283,37.591389,branch,фитнес-клуб,msc,-10.87934977093137,-1.6542479000323447
12027,1 этаж,"улица Новочерёмушкинская, 11 к2",,,,,,"Москва, улица Новочерёмушкинская, 11 к2","Столички, аптека",55.686309,37.584899,branch,аптека,msc,-7.313708731938242,-2.061766164989001
12028,,"улица Нагорная, 34 к1",,,,,,"Москва, улица Нагорная, 34 к1","Столички, аптека",55.674009,37.596062,branch,аптека,msc,-8.683141558859258,-1.3608221886224618
12029,1 этаж,"бульвар Маршала Рокоссовского, 30",,,,,,"Москва, бульвар Маршала Рокоссовского, 30","Столички, аптека",55.816608,37.717057,branch,аптека,msc,7.193430512736738,6.236661647631437
12030,1 этаж,"Ходынский бульвар, 4",,,,,,"Москва, Ходынский бульвар, 4","ВкусВилл, магазин с доставкой полезных продуктов",55.789598,37.532951,branch,продуктовый магазин,msc,4.186184522184249,-5.323670214820426
12033,1 этаж,"улица Мнёвники, 21",,,,,,"Москва, улица Мнёвники, 21","ChaCha, грузинский ресторан",55.773887,37.481075,branch,кафе,msc,2.4369554761544614,-8.581052515325196
12036,,"Кировоградская улица, 11 к1",,,,,,"Москва, Кировоградская улица, 11 к1",Европейский Гимнастический Центр,55.614366,37.606722,branch,фитнес-клуб,msc,-15.323515559512874,-0.6914624393869895
12046,1 этаж,"улица Дудинка, 2 к1",,,,,,"Москва, улица Дудинка, 2 к1","Планета здоровья, аптека",55.861986,37.689881,branch,аптека,msc,12.245767308370748,4.530234145924272
12047,1 этаж,"Новодмитровская улица, 1 ст2",,,,,,"Москва, Новодмитровская улица, 1 ст2","Планета здоровья, аптека",55.806144,37.584067,branch,аптека,msc,6.028385542003554,-2.1140088759976354
12048,1 этаж,"Погонный проезд, 3а к4",,,,,,"Москва, Погонный проезд, 3а к4","Los Island Welness, центр здоровья и красоты",55.82118,37.702574,branch,фитнес-клуб,msc,7.7024702834104115,5.327249342291303
12050,цокольный этаж,"Волоколамское шоссе, 73",,,,,,"Москва, Волоколамское шоссе, 73","Сдм-Фитнес, фитнес-клуб",55.824919,37.429414,branch,фитнес-клуб,msc,8.118765339602463,-11.824933406494617
12053,2 этаж; супермаркет Пятёрочка,"Первомайская улица, 42",,,,,,"Москва, Первомайская улица, 42","Redapteka, аптека по продаже онкологических препаратов",55.79255,37.788085,branch,аптека,msc,4.514854373463648,10.696629902941638
12061,1-2 этаж,"Чертановская улица, 30 к5",,,,,,"Москва, Чертановская улица, 30 к5","Чертановская 30, торговый центр",55.62028,37.58899,branch,тц,msc,-14.665081229404342,-1.8048852375792725
12063,,"Новогиреевская улица, 39а",,,,,,"Москва, Новогиреевская улица, 39а",Образовательный центр им. С. Н. Олехника,55.752673,37.800685,branch,детский сад,msc,0.07504135313202352,11.48780495460317
12064,,"улица Грекова, 3 к3",,,,,,"Москва, улица Грекова, 3 к3","Здоров.Ру, аптека",55.886137,37.660377,branch,аптека,msc,14.934728475372468,2.6776273491447338
12066,"1, 2 этаж","Малахитовая улица, 14 ст1",,,,,,"Москва, Малахитовая улица, 14 ст1","Пятёрочка, супермаркет",55.829715,37.66609,branch,продуктовый магазин,msc,8.652745677605763,3.0363564362607827
12067,1 этаж,"Малая Семёновская улица, 13",,,,,,"Москва, Малая Семёновская улица, 13","Городская поликлиника №64 Департамента здравоохранения г. Москвы, стоматологическое отделение",55.785253,37.712708,branch,поликлиника,msc,3.702421090359451,5.963580516726549
12068,1 этаж,"Складочная улица, 1 ст1",,,,,,"Москва, Складочная улица, 1 ст1","Playground, спортивный игровой центр",55.800469,37.595126,branch,фитнес-клуб,msc,5.396540981989379,-1.4195952394482518
12073,1 этаж,"Ярославское шоссе, 124",,,,,,"Москва, Ярославское шоссе, 124","Loft Fitness, фитнес-клуб",55.870509,37.71398,branch,фитнес-клуб,msc,13.19471297273165,6.043451567819767
12078,1 этаж,"Уральская улица, 25",,,,,,"Москва, Уральская улица, 25","Димфарм, аптека",55.823526,37.807242,branch,аптека,msc,7.963670628559315,11.899529902690865
12080,,"проезд Русанова, 35",,,,,,"Москва, проезд Русанова, 35","Магнит, супермаркет",55.857046,37.637248,branch,продуктовый магазин,msc,11.69575130218499,1.2253176545429403
12081,1 этаж,"улица Паустовского, 2/34",,,,,,"Москва, улица Паустовского, 2/34","Пятёрочка, супермаркет",55.602937,37.541413,branch,продуктовый магазин,msc,-16.595959801863895,-4.79232675499846
12082,2 этаж; напротив кинотеатра АлмазСинема,"улица Селезнёва, 33",,,,,,"Мытищи (Мытищи городской округ, Московская обл.), улица Селезнёва, 33","Спортив, фитнес-клуб",55.892192,37.727895,branch,фитнес-клуб,msc,15.608891039086098,6.917198133735538
12087,,"Щёлковское шоссе, 79 к1",,,,,,"Москва, Щёлковское шоссе, 79 к1","Магнит, супермаркет",55.810938,37.806293,branch,продуктовый магазин,msc,6.562141562458579,11.839940614132626
12095,,"3-я Парковая улица, 24",,,,,,"Москва, 3-я Парковая улица, 24","Парагон, торговый центр",55.794988,37.78373,branch,тц,msc,4.786296599399646,10.423172155871107
12098,1 этаж,"улица Бориса Галушкина, 26",,,,,,"Москва, улица Бориса Галушкина, 26","Северянин, кафе",55.82057,37.664286,branch,кафе,msc,7.634553756555054,2.9230801768279786
12103,1 этаж,"улица Егора Абакумова, 9",,,,,,"Москва, улица Егора Абакумова, 9","Сметана, пельменная",55.879173,37.714338,branch,кафе,msc,14.159358847511792,6.065930998774881
12104,1 этаж,"Изумрудная улица, 65",,,,,,"Москва, Изумрудная улица, 65","Хорошие дети, детский клуб",55.8791,37.693219,branch,детский сад,msc,14.151231054537067,4.7398328834686465
12105,,"Северный бульвар, 15",,,,,,"Москва, Северный бульвар, 15","Fit&beauty, студия фитнеса и красоты",55.868647,37.61201,branch,фитнес-клуб,msc,12.98739890614743,-0.3594198153009334
