region,transport_type,latitude,longitude,y_coord,x_coord
kzn,plane,55.608102635614,49.2985936315984,-20.9339563294693,12.053660499094844
kzn,train,55.8428158271677,49.080178,5.198265992034985,-1.645543462294168
kzn,train,55.788184,49.099904,-0.8843580931373402,-0.408312547630047
kzn,bus,55.773309,49.103926,-2.5405084219677234,-0.15604940381281351
kzn,water,55.77493688585256,49.091780238098046,-2.3592633284605995,-0.9178415660031198
kzn,train,55.817565,48.88996,2.3868707533073406,-13.576167168653486
kzn,train,55.85374,49.196567,6.41455321198638,5.654469819143322
kzn,train,55.767939,49.107389,-3.138391616855693,0.06115280093404974
kzn,bus,55.60768637033111,49.30123060944131,-20.980301092501623,12.219053754317587
kzn,bus,55.792244652168705,49.099072890876336,-0.43225316206020253,-0.46044039453305585
kzn,train,55.815996,48.910861,2.2121806562090613,-12.265240729254447
kzn,train,55.764715,49.163313,-3.497343956489519,3.5687519206036513
kzn,bus,55.7334267700855,49.1854595951955,-6.980889733713777,4.957804395435704
kzn,bus,55.7873494152,49.1236907999,-0.9772790665669056,1.0836150793191188
kzn,bus,55.8163414244599,49.12862533185,2.250639691517522,1.3931129736423833
kzn,bus,55.842481,49.081829,5.160986681633943,-1.5419913877865408
kzn,bus,55.78708554094157,49.12218610158724,-1.0066582869319698,0.9892391657477638
kzn,bus,55.84211792124297,49.07991305001663,5.120561870816014,-1.6621613425989465
kzn,bus,55.8206847126846,49.0913907883297,2.7342149986118494,-0.9422681752559738
kzn,bus,55.8277314615827,49.116102851619,3.5187903622645282,0.607692732164048
kzn,bus,55.749707402,49.2063381414,-5.168251019529725,6.267323690168176
kzn,bus,55.7943073074,49.207969604,-0.20260111852826315,6.3696503375928195
kzn,bus,55.7932247523686,49.100805733638,-0.3231307113415977,-0.35175507316039784
kzn,water,55.7989136561499,48.9778975629558,0.3102611209138374,-8.060655348195795
kzn,train,55.825623,48.917115,3.2840370447650225,-11.872985090088237
kzn,train,55.805383,48.954242,1.030546397315939,-9.544350926230772
kzn,train,55.801818,48.971299,0.6336255224511942,-8.474522449985578
kzn,train,55.802147,49.065523,0.6702557982562655,-2.5647170735627296
kzn,train,55.801281,49.011987,0.573836900224005,-5.922538550635191
kzn,train,55.832694,48.97912,4.071313130627066,-7.983983125255637
kzn,train,55.845415,49.099896,5.4876552752472865,-0.4088143142013371
kzn,train,55.7772,49.168231,-2.107293286885979,3.8772128922782123
kzn,train,55.872333,49.222211,8.484685497677535,7.2628821184606265
kzn,train,55.806248,49.174431,1.1268540217883143,4.266081942687685
kzn,train,55.824989,48.844105,3.213448341078246,-16.45222613170376
kzn,train,55.837795,49.028217,4.639252504576914,-4.9045798162459215
kzn,train,55.821908,49.182836,2.8704140667055924,4.793250375464482
kzn,train,55.817741,48.867872,2.4064663310505123,-14.961542804421319
kzn,bus,55.8175903408683,49.1321095835531,2.3896921677872354,1.611648099402922
kzn,bus,55.8141379314297,49.1762533434316,2.0053061578484765,4.38038080557651
kzn,bus,55.789799734837075,49.10183189549078,-0.7044654279684387,-0.2873933588344501
kzn,bus,55.7887590246423,49.1020867223721,-0.8203360121284903,-0.27141040751343437
kzn,bus,55.8269380756563,49.14850376190162,3.4304558154804132,2.639904401409851
kzn,bus,55.7739361988293,49.0934321667939,-2.4706775422587457,-0.8142312417016623
kzn,bus,55.7730466648965,49.1024707759176,-2.569716208822367,-0.24732225366114205
kzn,bus,55.8020776285521,49.1857844976997,0.6625321042628154,4.978182544067233
kzn,bus,55.7851810596154,49.1083031235866,-1.218699305866115,0.11848738320920424
kzn,bus,55.788340832697386,49.12602432174094,-0.8668966583143534,1.2299754848065991
kzn,bus,55.8298401893966,49.1046403503179,3.753573402604133,-0.11124476506102964
kzn,bus,55.75349331987665,49.161286515232014,-4.746737123280417,3.4416491415959825
kzn,bus,55.730915581649754,49.1894588131436,-7.2604777984707285,5.2086385874651455
kzn,bus,55.79607255596356,49.224493400153854,-0.006061696506228514,7.406036080051048
kzn,bus,55.78702942514427,49.10214456880203,-1.0129061048935788,-0.2677822319106207
kzn,bus,55.733234,49.184739,-7.002352171425937,4.912608080113406
kzn,train,55.608872695447076,49.30042620705375,-20.84822195423778,12.168601025442277
kzn,train,55.849222,49.136824,5.911523039947805,1.9073401656362694
kzn,train,55.811991,48.92728,1.7662701911103873,-11.235428503476754
kzn,train,55.737757,49.127586,-6.498774866079268,1.3279252270277302
kzn,bus,55.8496563133995,48.8959830433099,5.959879098180844,-13.198397392767475
kzn,bus,55.8250441977715,49.0403300694891,3.2195939861126055,-4.144838250567424
kzn,bus,55.7795059579281,49.2133410752142,-1.8505530190412798,6.706553329290651
kzn,bus,55.79978929920165,49.25270377350033,0.40775362145335897,9.175413062106426
kzn,bus,55.79618360938935,49.23449808942485,0.006302782877736065,8.033538161974523
kzn,bus,55.8644605303666,49.2235551183473,7.608169182716079,7.347186295573233
kzn,bus,55.7932032884993,49.0970881729858,-0.3255204570067675,-0.5849235307905488
kzn,bus,55.7829849037178,49.1164488997792,-1.4632146873176286,0.6293971569857324
kzn,bus,55.7927756555938,49.1516103979623,-0.3731322752747353,2.834755157478492
kzn,bus,55.7972191674521,49.1933872565652,0.12159987909729464,5.455033739589219
kzn,bus,55.7495107799909,49.2072125140296,-5.190142377136902,6.322165045381871
kzn,bus,55.81491707895512,49.184929677084895,2.0920552379503814,4.924567501598275
kzn,train,55.68807073116764,49.1979925632464,-12.030675104218954,5.743882297789417
kzn,bus,55.74127028595034,49.1920478748154,-6.107615848497705,5.37102663227451
